PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=953 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=989 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=1009 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=1014 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=1004 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=1030 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=1047 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=1030 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=1029 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=1030 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=1035 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=1021 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=1032 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=1045 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=1035 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=1034 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=1048 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=1046 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=1042 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=1040 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=1045 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=1065 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=1032 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=1045 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=922 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=863 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=853 ms
